feature,importance
cat__NAME_FAMILY_STATUS_Civil marriage,0.00123
cat__NAME_HOUSING_TYPE_House / apartment,0.00122
cat__NAME_CONTRACT_TYPE_Revolving loans,0.00114
num__ELEVATORS_MODE,0.00112
num__NONLIVINGAPARTMENTS_MODE,0.00107
cat__OCCUPATION_TYPE_Drivers,0.00105
cat__NAME_CONTRACT_TYPE_Cash loans,0.00103
cat__NAME_INCOME_TYPE_State servant,0.00102
cat__NAME_FAMILY_STATUS_Separated,0.001
num__FLAG_DOCUMENT_8,0.00099
cat__ORGANIZATION_TYPE_Other,0.00098
num__FLAG_EMAIL,0.00092
num__FLAG_EMP_PHONE,0.00091
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00088
cat__NAME_HOUSING_TYPE_With parents,0.00087
cat__WALLSMATERIAL_MODE_Panel,0.00086
cat__OCCUPATION_TYPE_Managers,0.00085
num__DAYS_EMPLOYED_ANOMALY,0.00084
"cat__WALLSMATERIAL_MODE_Stone, brick",0.00082
"cat__NAME_TYPE_SUITE_Spouse, partner",0.00081
num__REG_REGION_NOT_WORK_REGION,0.0008
cat__ORGANIZATION_TYPE_XNA,0.00078
cat__NAME_INCOME_TYPE_Pensioner,0.00077
cat__NAME_FAMILY_STATUS_Widow,0.00075
num__LIVE_REGION_NOT_WORK_REGION,0.00075
cat__ORGANIZATION_TYPE_Medicine,0.00072
cat__ORGANIZATION_TYPE_Government,0.00072
cat__OCCUPATION_TYPE_High skill tech staff,0.00072
num__FLAG_DOCUMENT_6,0.00071
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.00069
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.00069
cat__NAME_HOUSING_TYPE_Municipal apartment,0.00069
cat__ORGANIZATION_TYPE_Construction,0.00065
cat__NAME_HOUSING_TYPE_Rented apartment,0.00064
cat__OCCUPATION_TYPE_Security staff,0.00064
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.00063
cat__ORGANIZATION_TYPE_Trade: type 7,0.00062
cat__OCCUPATION_TYPE_Accountants,0.0006
cat__ORGANIZATION_TYPE_School,0.00059
cat__OCCUPATION_TYPE_Medicine staff,0.00056
cat__OCCUPATION_TYPE_Cooking staff,0.00054
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.00054
cat__FONDKAPREMONT_MODE_reg oper account,0.00052
cat__ORGANIZATION_TYPE_Kindergarten,0.0005
cat__ORGANIZATION_TYPE_Transport: type 4,0.0005
cat__NAME_EDUCATION_TYPE_Lower secondary,0.00049
cat__OCCUPATION_TYPE_Cleaning staff,0.00043
cat__ORGANIZATION_TYPE_Industry: type 3,0.00043
cat__WALLSMATERIAL_MODE_Block,0.0004
cat__FONDKAPREMONT_MODE_reg oper spec account,0.00039
cat__OCCUPATION_TYPE_Low-skill Laborers,0.00038
num__REG_REGION_NOT_LIVE_REGION,0.00037
num__FLAG_DOCUMENT_5,0.00036
num__BUREAU_OVERDUE_COUNT,0.00036
cat__ORGANIZATION_TYPE_Trade: type 3,0.00034
cat__ORGANIZATION_TYPE_Agriculture,0.00033
cat__NAME_TYPE_SUITE_Children,0.00033
cat__ORGANIZATION_TYPE_Security,0.00031
cat__NAME_HOUSING_TYPE_Office apartment,0.00027
cat__OCCUPATION_TYPE_Private service staff,0.00027
cat__ORGANIZATION_TYPE_Industry: type 9,0.00026
cat__FONDKAPREMONT_MODE_not specified,0.00026
cat__ORGANIZATION_TYPE_Industry: type 11,0.00025
cat__ORGANIZATION_TYPE_Housing,0.00025
cat__ORGANIZATION_TYPE_Postal,0.00024
cat__ORGANIZATION_TYPE_Military,0.00023
cat__ORGANIZATION_TYPE_Restaurant,0.00023
cat__FONDKAPREMONT_MODE_org spec account,0.00023
cat__ORGANIZATION_TYPE_Transport: type 2,0.00022
num__AMT_REQ_CREDIT_BUREAU_DAY,0.00021
num__FLAG_DOCUMENT_16,0.00021
cat__WALLSMATERIAL_MODE_Wooden,0.0002
cat__NAME_TYPE_SUITE_Other_B,0.0002
cat__ORGANIZATION_TYPE_Transport: type 3,0.00019
cat__ORGANIZATION_TYPE_Bank,0.00019
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.00018
num__FLAG_DOCUMENT_18,0.00018
cat__ORGANIZATION_TYPE_Trade: type 2,0.00017
cat__EMERGENCYSTATE_MODE_No,0.00016
cat__ORGANIZATION_TYPE_Police,0.00016
cat__HOUSETYPE_MODE_block of flats,0.00016
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.00015
cat__ORGANIZATION_TYPE_Industry: type 1,0.00015
cat__ORGANIZATION_TYPE_Industry: type 4,0.00015
cat__EMERGENCYSTATE_MODE_Yes,0.00015
cat__WALLSMATERIAL_MODE_Mixed,0.00014
cat__NAME_HOUSING_TYPE_Co-op apartment,0.00014
cat__OCCUPATION_TYPE_Secretaries,0.00014
cat__ORGANIZATION_TYPE_Services,0.00014
cat__ORGANIZATION_TYPE_Industry: type 7,0.00013
cat__ORGANIZATION_TYPE_Security Ministries,0.00013
cat__HOUSETYPE_MODE_specific housing,0.00012
cat__ORGANIZATION_TYPE_University,0.00011
cat__NAME_TYPE_SUITE_Other_A,0.00011
cat__WALLSMATERIAL_MODE_Others,0.0001
cat__ORGANIZATION_TYPE_Electricity,9e-05
num__FLAG_DOCUMENT_11,9e-05
cat__ORGANIZATION_TYPE_Telecom,8e-05
cat__ORGANIZATION_TYPE_Realtor,8e-05
cat__ORGANIZATION_TYPE_Hotel,8e-05
num__FLAG_DOCUMENT_9,8e-05
cat__ORGANIZATION_TYPE_Industry: type 5,8e-05
cat__HOUSETYPE_MODE_terraced house,8e-05
cat__OCCUPATION_TYPE_Realty agents,7e-05
cat__ORGANIZATION_TYPE_Trade: type 1,6e-05
